Date, Total_Stocks, Above_50SMA, Above_200SMA, RS_80_Plus, RS_Line_New_High, CANSLIM_Count, Momentum_Count, Breakout_Count, PB_Count, Value_Count, Avg_Mkt_RS3M, Top_Sector, Top_Sector_RS3M
2026-08-07,4386,2726,2706,947,133,807,1168,30,69,91,48.9,MISC,64.9
2026-08-14,4412,2767,2706,941,101,781,1195,15,80,83,47.9,BANKS,61.9
2026-08-14,4412,2767,2706,941,101,781,1195,15,80,83,47.9,BANKS,61.9
2026-08-14,4412,2767,2706,941,101,781,1195,15,80,83,47.9,BANKS,61.9
2026-08-14,4412,2767,2706,941,101,781,1195,15,80,83,47.9,BANKS,61.9
2026-08-14,4412,2767,2706,941,101,781,1195,15,80,83,47.9,BANKS,61.9
2026-08-21,4702,2710,2771,940,163,791,1154,29,85,99,45.5,MINING,65.1
2026-08-21,4702,2710,2771,940,163,791,1154,29,85,99,45.5,MINING,65.1
2026-08-21,4702,2710,2771,940,163,791,1154,29,85,99,45.5,MINING,65.1
2026-08-28,4688,2478,2672,938,85,751,1124,9,124,106,45.7,SOFTWARE,64.1
